sentence	sentence_id	locale	reason
Plăcerea ceamai bună e aceea pe care o dai.	10d450eb38b59b23de5c5df387c5cf9bda8dd4877117396ad793a3c67597eac9	ro	grammar-or-spelling
Nu zeii au făcut muzica, ci muzica afăcut zeii.	038752fdd4c8e5a7fc7e96e3785422e207b22c6ca5925abd6b826a626fe48b72	ro	grammar-or-spelling
Acest lucru exclude, deci, ideea de sui generis.	005909a1cf2116a1ea4d4e3f057f89996f10c24e5ca89e405833da6f5efd2229	ro	difficult-pronounce
Acest lucru exclude, deci, ideea de sui generis.	005909a1cf2116a1ea4d4e3f057f89996f10c24e5ca89e405833da6f5efd2229	ro	difficult-pronounce
Proiectul fost foarte greu de dus la bun sfârșit.	1437ebc95ad7a74e0424ec5430f85fb99882729e95f9d0d5652db51102af601a	ro	grammar-or-spelling
Omul este cevace trebuie depăşit.	1315c89f3beb6b5bbbb2243046015f27b33cbd06605b9583cd85fb2d200df961	ro	grammar-or-spelling
Acest lucru exclude, deci, ideea de sui generis.	005909a1cf2116a1ea4d4e3f057f89996f10c24e5ca89e405833da6f5efd2229	ro	difficult-pronounce
Plăcerea ceamai bună e aceea pe care o dai.	10d450eb38b59b23de5c5df387c5cf9bda8dd4877117396ad793a3c67597eac9	ro	grammar-or-spelling
Aceasta nu este un o evoluţie satisfăcătoare.	461b664626aa7b291d229664f1f7da0b914a7ff999dfa19e5f9c18c88f0fa73d	ro	grammar-or-spelling
Să nu tragem de timp, dle comisar.	46ff8f3fac9d49ae81aea1d640dcd29855e3f9d09834f8d9c124c89919ac4add	ro	grammar-or-spelling
Dnă preşedintă, am susţinut acest raport.	31736a36be7c53fafb5e158dde136a05cee8de1ce8e0401a5bb7a201ca3e952b	ro	grammar-or-spelling
Pasivitatea dnei comisar este profund dezamăgitoare.	473697fb84f3b1ed67cae1d0c0b16583a95fbed544731a5151e6a0b5dbf9a98d	ro	grammar-or-spelling
Dnă preşedintă, am câteva observaţii de făcut.	45f1778c8bb5b37d79bc0bbc6f67ad9048dbde29fe64af7d841560dde0755337	ro	grammar-or-spelling
